id,color,codigo_color,codigo_tela,descripcion_tela,ancho_tela
1,WHITE,1,TEN0007775,LYCRA DORE ARGENTA LUREX ARTE 313898 SEAWEED,1.5
2,BLACK,2,TE00007866,SOLID LINEN ART.L930-SANDFOR AIRO LIBECO COL. LEATHER 5285,1.6
3,BPT,3,TE00007761,COTTON POPLIN ACTION TC4778 COL.15950 CAMEL,1.35
4,ANIS TRUFFLE,4,TE00007889,POLY CREPPE LISA RE'23 SWIM PALM DE JOUY EMERALD - PALE GREEN 130 CM (DIS950203-JO3),1.53
5,BEIGE,5,TE00007891,POLY CREPPE LISA RE'23 SWIM PALM DE JOUY CURCUMA JADE 130 CM (DIS950203-JO5),
6,AQUA/SALMON,6,TE00007886,COTTON POPLIN MANCHESTER LISA RE'23 SWIM BAMBARA TRIBAL ECRU BLACK RUSTY MARSALA 31 CM ALLOVER,1.55
7,BLUE,7,TE00007820,LINEN LIK006 RATTI RE'23 SWIM BAMBARA TRIBAL GREEN KENTE JUNIPER ECRU BLACK 31 CM,1.47
8,MALVA,8,TE00007867,SOLID LINEN ART.L930-SANDFOR AIRO LIBECO COL.ULTRAMARINE GREEN 5344,1.6
9,SAND,9,TE00007785,COTTON POPLIN MANCHESTER LISA RE'23 SWIM BAMBARA TRIBAL BLACK ECRU- CHOCOLATE - BROWN 31 CM,1.48
10,TAUPE,10,TE00007839,LYCRA VITA FY0427J RATTI RE'23 SWIM PALM DE JOUY GREEN - ECRU 70 CM,1.46
11,CAMEL,11,TEN0002704,LICRA TABITA CRUDA U400502,1.49
12,CAOBA,12,TE00007837,LYCRA VITA FY0427J RATTI RE'23 SWIM COCONUT WAX BLACK- ECRU 120CM,1.46
13,CAFÉ CLARO,13,TE00004332,JK RODI FLORALSTAMP NAVY PEACH 90CM 982566005 JH5,1.44
14,CACAO,14,TE00006365,CDC EST16MMPV1200W PALMBLOCKPRINT ECRUREDGREEN70CM,1.39
15,TABACO,15,TE00000328,ESTÁNDAR LUREX JACQUARD 00613RAP158AA 8BRON GOLD,1.4
16,CHOCOLATE,16,TE00007798,COTTON POPLIN MANCHESTER LISA RE'23 SWIM PALM DE JOUY RED TERRACOTA 130 CM,1.48
17,MARRON,17,TE00007890,POLY CREPPE LISA RE'23 SWIM PALM DE JOUY RED TERRACOTA 130 CM (DIS950203-JO6),
18,CAFÉ,18,TE00007975,PRINTED HEAVY JACQUARD MATELASSE SL0104N RATTI RE23 TROPICAL KYOTO MAROON-YELLOW CORRECT 60CM,
19,TERRACOTA,19,TE00007938,LYCRA GEORGETTE PREVIEW RE'23 TROPICAL KYOTO BROWN-PINK-LIGHT YELLOW 80CM,
20,LADRILLO,20,TE00007912,GOLDEN WAX POPLIN MEIER-G LISA RE' 23 ANKARAN DRUMBEATS OLIVEGREEN 10cm,1.48
21,ROSADO,21,TE00007955,CDC 16MM CRK16 RATTI RE'23 CONGO BEATS BLACK- BROWN -PINK 60CM,
22,PALO DE ROSA,22,TE00007974,PRINTED HEAVY JACQUARD MATELASSE SL0104N RATTI RE23 TROPICAL KYOTO BLACK-SALMON-ECRU 80CM,
23,CORAL,23,TE00007907,ECO POPLIN MANCHESTER LISA RE'23 ORINOCO FLOW INDIGO-BLACK-ECRU 150CM CORRECT OK,1.48
24,SALMON,24,TE00007250,LICRA SUPER LIBERTY SOUL ECO PF'22 SWIM LES COQUILLAGES GREEN/SOFT BROWN/LIGHT YELLOW 30CM,
25,ROSA VIEJO,25,TE00007897,"ACETATE MATT JERSEY 13882, REF. 01625 - HENITEX - TERRACOTA 4F11",1.35
